Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimCI,CorrectMean,CorrectStd,CorrectCI
Crying Baby,baby,Standard,Standard,NA,0.0,Nominal,1,-18.27,-19.735,12.553,"(-22.198, -17.272)",0.873,0.035,"(0.867, 0.88)"
Crying Baby,baby,Standard,Standard,NA,0.001,Ambiguous,2,-18.27,-23.346,13.449,"(-25.985, -20.707)",0.824,0.033,"(0.817, 0.83)"
Crying Baby,baby,Standard,Standard,NA,0.01,Ambiguous,3,-18.27,-25.217,10.664,"(-27.309, -23.124)",0.804,0.035,"(0.797, 0.811)"
Crying Baby,baby,Standard,Standard,NA,0.1,Ambiguous,4,-18.27,-46.246,13.136,"(-48.823, -43.668)",0.64,0.056,"(0.628, 0.651)"
Crying Baby,baby,Standard,Standard,NA,0.2,Ambiguous,5,-18.27,-69.973,13.244,"(-72.572, -67.375)",0.463,0.055,"(0.452, 0.474)"
Crying Baby,baby,Robust,Standard,NA,0.001,Nominal,6,-18.493,-17.678,9.87,"(-19.614, -15.741)",0.868,0.038,"(0.861, 0.875)"
Crying Baby,baby,Robust,Standard,NA,0.001,Ambiguous,7,-18.493,-21.573,11.459,"(-23.821, -19.325)",0.821,0.037,"(0.813, 0.828)"
Crying Baby,baby,Robust,Standard,NA,0.01,Nominal,8,-20.313,-17.855,10.228,"(-19.862, -15.848)",0.872,0.037,"(0.864, 0.879)"
Crying Baby,baby,Robust,Standard,NA,0.01,Ambiguous,9,-20.313,-23.715,13.193,"(-26.303, -21.127)",0.806,0.036,"(0.799, 0.813)"
Crying Baby,baby,Robust,Standard,NA,0.1,Nominal,10,-40.857,-21.464,9.708,"(-23.369, -19.559)",0.871,0.035,"(0.864, 0.878)"
Crying Baby,baby,Robust,Standard,NA,0.1,Ambiguous,11,-40.857,-44.283,12.418,"(-46.719, -41.846)",0.684,0.044,"(0.676, 0.693)"
Crying Baby,baby,Robust,Standard,NA,0.2,Nominal,12,-64.255,-25.979,7.015,"(-27.356, -24.603)",0.633,0.025,"(0.628, 0.638)"
Crying Baby,baby,Robust,Standard,NA,0.2,Ambiguous,13,-64.255,-67.611,12.423,"(-70.048, -65.174)",0.591,0.051,"(0.581, 0.601)"
