Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimCI,CorrectMean,CorrectStd,CorrectCI
Rock Diagnosis,rock,Standard,Information,Simple,0.0,Nominal,1,84.357,85.167,0.388,"(85.113, 85.22)",0.992,0.006,"(0.991, 0.993)"
Rock Diagnosis,rock,Standard,Information,Simple,0.001,Ambiguous,2,84.357,85.167,0.389,"(85.113, 85.221)",0.987,0.061,"(0.979, 0.996)"
Rock Diagnosis,rock,Standard,Information,Simple,0.01,Ambiguous,3,84.357,85.149,0.413,"(85.092, 85.206)",0.992,0.006,"(0.991, 0.993)"
Rock Diagnosis,rock,Standard,Information,Simple,0.1,Ambiguous,4,84.357,84.828,0.953,"(84.696, 84.96)",0.988,0.014,"(0.986, 0.99)"
Rock Diagnosis,rock,Standard,Information,Simple,0.2,Ambiguous,5,84.357,84.865,0.769,"(84.759, 84.972)",0.986,0.017,"(0.984, 0.988)"
Rock Diagnosis,rock,Standard,Information,Simple,0.4,Ambiguous,6,84.357,81.333,3.518,"(80.845, 81.821)",0.941,0.062,"(0.932, 0.95)"
Rock Diagnosis,rock,Standard,Information,Approximate Entropy,0.0,Nominal,7,76.679,83.007,1.124,"(82.851, 83.163)",0.994,0.004,"(0.993, 0.995)"
Rock Diagnosis,rock,Standard,Information,Approximate Entropy,0.001,Ambiguous,8,76.679,83.102,0.973,"(82.967, 83.236)",0.994,0.002,"(0.994, 0.995)"
Rock Diagnosis,rock,Standard,Information,Approximate Entropy,0.01,Ambiguous,9,76.679,83.03,1.149,"(82.871, 83.19)",0.994,0.002,"(0.994, 0.995)"
Rock Diagnosis,rock,Standard,Information,Approximate Entropy,0.1,Ambiguous,10,76.679,81.867,2.39,"(81.536, 82.199)",0.99,0.017,"(0.988, 0.993)"
Rock Diagnosis,rock,Standard,Information,Approximate Entropy,0.2,Ambiguous,11,76.679,80.177,3.9,"(79.636, 80.718)",0.985,0.025,"(0.982, 0.989)"
Rock Diagnosis,rock,Standard,Information,Approximate Entropy,0.4,Ambiguous,12,76.679,77.235,6.397,"(76.347, 78.122)",0.801,0.315,"(0.757, 0.845)"
Rock Diagnosis,rock,Robust,Information,Simple,0.001,Nominal,13,84.327,85.188,0.347,"(85.14, 85.236)",0.992,0.005,"(0.991, 0.993)"
Rock Diagnosis,rock,Robust,Information,Simple,0.001,Ambiguous,14,84.327,85.188,0.354,"(85.139, 85.237)",0.992,0.006,"(0.991, 0.993)"
Rock Diagnosis,rock,Robust,Information,Simple,0.01,Nominal,15,84.083,85.2,0.336,"(85.153, 85.246)",0.992,0.005,"(0.992, 0.993)"
Rock Diagnosis,rock,Robust,Information,Simple,0.01,Ambiguous,16,84.083,85.157,0.412,"(85.1, 85.214)",0.992,0.006,"(0.991, 0.993)"
Rock Diagnosis,rock,Robust,Information,Simple,0.1,Nominal,17,82.277,85.064,0.821,"(84.95, 85.178)",0.993,0.006,"(0.992, 0.993)"
Rock Diagnosis,rock,Robust,Information,Simple,0.1,Ambiguous,18,82.277,84.962,0.901,"(84.837, 85.087)",0.993,0.005,"(0.992, 0.993)"
Rock Diagnosis,rock,Robust,Information,Simple,0.2,Nominal,19,82.278,84.971,0.851,"(84.853, 85.089)",0.992,0.007,"(0.991, 0.993)"
Rock Diagnosis,rock,Robust,Information,Simple,0.2,Ambiguous,20,82.278,84.977,0.901,"(84.852, 85.102)",0.993,0.006,"(0.992, 0.993)"
Rock Diagnosis,rock,Robust,Information,Simple,0.4,Nominal,21,82.281,85.034,0.835,"(84.919, 85.15)",0.992,0.007,"(0.991, 0.993)"
Rock Diagnosis,rock,Robust,Information,Simple,0.4,Ambiguous,22,82.281,84.862,1.088,"(84.711, 85.013)",0.991,0.01,"(0.99, 0.993)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.001,Nominal,23,76.782,83.03,1.024,"(82.888, 83.173)",0.994,0.003,"(0.994, 0.995)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.001,Ambiguous,24,76.782,83.017,1.07,"(82.869, 83.166)",0.994,0.003,"(0.994, 0.994)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.01,Nominal,25,75.691,83.054,0.963,"(82.92, 83.188)",0.994,0.002,"(0.994, 0.994)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.01,Ambiguous,26,75.691,82.989,1.026,"(82.847, 83.132)",0.994,0.003,"(0.994, 0.994)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.1,Nominal,27,72.174,82.304,2.357,"(81.977, 82.631)",0.992,0.007,"(0.991, 0.993)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.1,Ambiguous,28,72.174,82.294,2.298,"(81.975, 82.612)",0.992,0.007,"(0.991, 0.993)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.2,Nominal,29,72.184,82.069,2.29,"(81.752, 82.387)",0.991,0.008,"(0.99, 0.992)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.2,Ambiguous,30,72.184,82.59,2.025,"(82.309, 82.87)",0.992,0.007,"(0.991, 0.993)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.4,Nominal,31,72.207,82.564,1.907,"(82.299, 82.828)",0.993,0.004,"(0.992, 0.993)"
Rock Diagnosis,rock,Robust,Information,Approximate Entropy,0.4,Ambiguous,32,72.207,82.246,2.328,"(81.923, 82.569)",0.991,0.007,"(0.99, 0.992)"
