x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
1.0,-21.091678903980274,-37.64298143556642,-14.502408952446604,-22.87249618961111,-6.250738575023012,-5.906920696870181,-32.263113779931885,-9.777593082070346,-33.11526030903578,-18.692028228858412,-10.319118778261807,-2.7021061217397166,-34.21080449708991,-25.51414223786318,-33.72678853107497,-28.841354202614,-60.41252039790264,-12.784477419894696,-12.077638240205033,-24.827453252070836,-40.111780796669095,-9.681181628838589,-4.695703516395138,-12.422291683773219,-9.551630252320313,-14.421665231372279,-25.314944492952453,-17.56371505479029,-10.442015710361074,-6.330203244091232,-23.22949115819222,-6.199190674909877,-15.594301374171092,-32.470263839584646,-5.019541317621597,-23.910742608406572,-8.897040891426602,-7.385545266489757,-8.787428156901578,-18.023131550110985,-57.779495298761255,-16.291993805764033,-31.326105829342797,-14.385864330752483,-25.64729669037505,-7.194785583828955,-12.41661025721979,-23.107712317097302,-8.935283449377268,-8.707306120435748,-36.25568528771948,-16.294760109517757,-22.524741720068903,-37.57974193904567,-16.561612284928437,-14.24388073841796,-32.540365232670304,-30.641803991749676,-31.773720486536313,-8.311690778586389,-6.051665013890581,-42.317438305474646,-10.24020148363455,-27.305404792455906,-6.615162486557147,-7.980283170862663,-10.065908161624666,-11.541257643736431,-5.094265614950408,-8.723194243358684,-11.966942291280708,-31.93507485432359,-29.11603172679922,-10.731238462745853,-38.22423564520236,-24.61143930548041,-14.430233117182796,-8.63109352554074,-5.680480829428089,-40.665837591890906,-5.577307748341912,-15.030745037466305,-12.292019949954993,-41.36502082165411,-32.15117153415669,-22.860520736660934,-24.79965170225541,-8.829125158194138,-11.774318026716664,-26.00473800855588,-35.72190002242359,-13.017703355723727,-38.09291500538411,-39.25475283895432,-30.185277308571184,-26.360158659921105,-6.396949727877813,-23.267942967918863,-2.7586475921444746,-5.759799409824127
2.0,-1.190787977373256,-21.755075993238712,-33.57354259680012,-69.02188359921269,-16.183198212122672,-13.178428261127982,-7.119602062572633,-17.581975106489317,-19.91324918557435,-51.30482907304299,-70.0499856639396,-7.224892924005402,-23.727854728273147,-22.773193539880786,-8.108842586058968,-21.135446991847477,-27.24301426362271,-17.117734078413978,-21.30273926787482,-19.51209728782196,-34.02553906648217,-45.85016482078037,-37.806087043623236,-5.172252969221969,-24.47934650955723,-21.46652590409647,-27.258561220804758,-22.112402168323896,-49.156042799877454,-13.505919719449388,-30.266675391562824,-23.267708190508813,-26.872725943582854,-50.43061331743952,-21.818284897981496,-41.4304578333185,-24.678605508808538,-37.76575433798483,-11.27089905013376,-6.542455176724642,-19.351541489538878,-16.279177074942464,-13.236357748435447,-12.366220572725462,-20.8640039675627,-18.292176027424524,-9.049450310857573,-27.205217585757836,-34.78254856883829,-25.8453550117293,-36.69733027907813,-14.22877277741719,-14.832060920656467,-18.32881788356515,-28.90229510725153,-19.164979455693306,-24.808255839274178,-18.925357855828008,-12.749217034528076,-35.72326604516219,-23.898655554011423,-58.7201070748172,-20.323685831665284,-29.1398125996246,-24.521100670468417,-19.928165796881196,-47.698482565614476,-17.085302069831897,-35.716474006080034,-31.919001677742145,-11.67429849649582,-19.353306062346284,-21.92373224998224,-15.048949786002384,-20.291156066079,-8.663129722657162,-7.923075406600826,-27.01819181997965,-4.465325226105738,-34.65918205479945,-19.80345520432774,-46.34203309129847,-24.812126073026892,-11.969804549971757,-41.945087939356796,-13.020720202365702,-18.264157812660308,-21.386034753324573,-22.18149919542186,-21.89942270439744,-16.13067412847824,-12.431548325271859,-17.352115631126875,-8.201358305599806,-11.482252085278427,-15.165407008961983,-14.94476429673951,-40.41758302095259,-5.858693285212262,-5.180396693657573
3.0,-55.59171813721587,-14.853918727656001,-27.25734797689113,-20.302056235789227,-37.65453495349935,-18.049174853377387,-22.50308590512482,-43.298829912917974,-16.61413492424856,-29.564663362094716,-33.246003496169045,-16.51377379937073,-35.98852219846803,-27.322216755603616,-27.183849518605626,-37.03286165550419,-28.31571663967526,-50.78955910899369,-28.861874890597733,-21.29388806187588,-22.083801828576895,-29.986528026496252,-45.64048809846265,-20.413275738173297,-23.186803203421352,-20.1438267060363,-22.37905437013539,-19.56185384721918,-25.529627570529275,-23.717115406768176,-30.540735698821774,-29.803690107529686,-9.618840453788227,-25.2351953258309,-31.293917581831373,-28.591621899782556,-12.416723595811835,-24.023033687532504,-15.91829225578252,-12.938792745260866,-31.87266842946872,-11.71620751745563,-17.355826668615318,-27.713792386127295,-26.151897580862435,-27.7034031893998,-11.45869465086506,-27.01129758395173,-32.2196991744237,-37.366637987547655,-26.894734212301735,-17.199413133708987,-4.837527289711331,-45.44624795192677,-14.700448891147866,-45.46517100702172,-23.417625910167466,-24.946872643596343,-27.83512987428848,-32.46345770467515,-15.774388706950349,-19.40451597144412,-13.848528778512522,-11.837676099271919,-19.283968412113484,-28.55730246074048,-46.42285866375048,-34.623331819960164,-16.44740218952354,-15.983556372636839,-12.513632659169248,-27.43397078478996,-19.49364158310692,-31.383175625448985,-10.575205087408303,-16.27871302452364,-38.31615519279657,-34.448133125647125,-21.571996469684375,-38.30838827043405,-10.371262426414816,-18.966859005191807,-37.190458046760924,-28.790237532561424,-16.350561340427713,-23.711102795707447,-39.08935574098066,-25.032964507780807,-14.829514007433225,-36.0810843465494,-10.184543313282164,-50.199474843867016,-8.382604724858776,-10.561251831890711,-29.001089455525555,-38.46947222729163,-5.497044410305715,-22.317062766252757,-21.673096151898,-23.435301877323635
4.0,-40.369755042293946,-51.304679095193855,-44.28057060273815,-53.83936463015266,-48.72937824618881,-41.47183199426623,-52.558103532605756,-53.696274553619055,-64.38318828382569,-59.125653551918944,-32.77986226390702,-15.135225643447487,-23.891107466113073,-34.635741917394434,-31.223847040665824,-29.851357611372727,-43.101017726495385,-32.86546872304344,-45.83837318029657,-41.827498302748936,-61.22079688630033,-32.66653725076177,-47.26431027797461,-53.5306963013406,-74.24048618089738,-52.64323375160319,-69.44401592456609,-48.12911244012372,-39.04633117321569,-39.32050166931451,-49.44746327277563,-20.545829725602,-54.43652705829194,-37.23557780180383,-52.90835023765305,-52.401644635495856,-47.51624153058476,-25.848784533108986,-61.8066671234043,-36.6768704047388,-17.626566185122456,-28.382976004279094,-50.78839179657369,-38.185387788945306,-62.847876567385455,-67.43974902582372,-53.86889940376535,-26.265276910543644,-54.934106099351204,-59.96612652466001,-50.790870162604634,-44.50507593839418,-31.4007484862916,-23.7433325725978,-37.57658363964805,-55.17381705086308,-55.16023888038358,-43.4786811015876,-50.99920565413869,-64.82826623594573,-43.37651780127076,-31.181157712855875,-36.603098115679025,-70.84361398768289,-25.809673092287504,-50.18548218952079,-60.98689364161726,-24.97138236670821,-59.821413048686104,-63.85583102385139,-50.13256558209063,-35.294609473738184,-43.44105525376235,-41.17143862845135,-62.68972212640407,-57.11570798613619,-48.02402117090173,-67.32603935354201,-45.792540903224044,-54.45605280866846,-51.8585193399802,-33.54907253593815,-44.45371971537681,-52.33920489139966,-44.26240766852109,-70.33841007698216,-49.39708049417301,-28.966228507487898,-44.097959578935956,-47.8466485293224,-43.54018836470261,-53.36507760423311,-52.55268114305821,-32.18669647384403,-36.812084701887294,-50.41081908798507,-77.5626723400083,-44.99251210028261,-36.250593030213665,-41.49732535727474
5.0,-76.51612035117078,-71.78855605423558,-67.14997830446907,-75.21122786277007,-66.29736701168805,-88.6948111262962,-76.64640129738005,-72.06554154274869,-58.94869015914988,-67.43665804876817,-49.65016896248934,-75.9339734829014,-76.64854518942848,-68.84935146044353,-80.42566943867814,-63.33239362009484,-59.43247432795899,-84.27366703447309,-60.632249126797554,-73.67767080218887,-54.40412833177335,-53.02810855010688,-84.19996855875524,-80.83129047914932,-78.7736363865403,-77.42401367167427,-80.14340232574625,-95.76946653299866,-74.78702575180488,-57.33553415112214,-65.67393241180353,-71.33969263807631,-72.2801216676034,-80.67315838391207,-75.32761932221781,-71.17878074300842,-84.49291242597576,-80.0944791351932,-52.56781958867121,-73.52079535579364,-88.20258876527953,-65.9654134547826,-52.371164506855216,-39.97604583833127,-64.70921390897048,-90.5334155177382,-61.60565000112823,-77.921490812175,-54.70694806592957,-65.67558404061704,-60.610822881514835,-74.65170000376243,-77.5285501841349,-71.40127858801468,-79.61282230959515,-64.86198072035099,-84.7381085529823,-50.15054093592671,-57.94578034763592,-80.69890375190901,-36.32448748864102,-61.69453232336305,-76.78043211917381,-85.5292619562567,-64.07756672080313,-44.12162001557644,-60.5200371216583,-67.56281477727113,-41.33361807165101,-49.70887749687609,-81.87083981466482,-70.47853697958169,-59.90986690382168,-87.51366800763095,-65.85106366432665,-62.108529283129954,-60.99869129259009,-87.03037078497158,-90.87058208248895,-51.42323607230267,-80.17918873631466,-65.09673639978868,-34.94952676756328,-75.79253170178796,-94.53267239067213,-76.50630571484969,-69.52755009263865,-82.42972084064566,-71.17085189713588,-83.24214371854767,-89.65395308681367,-71.625130065303,-85.57119263716542,-77.20347960926628,-50.16232001751508,-64.30028316821634,-88.20136924862621,-66.84812082638022,-69.87208064759355,-53.42242056965412
6.0,-11.668154641677031,-16.67988567527179,-8.904904362558383,-37.24329266469449,-1.7412130524403517,-14.206605114958945,-18.823221764864545,-6.205190499773643,-13.863987428839778,-28.29320063965177,-16.36169258650317,-26.42412217714867,-25.46871502800397,-21.114851916360607,-17.990522692379386,-11.700170423682952,-32.79816333765239,-36.46330325360739,-9.532563443452386,-11.826883148115407,-13.926892668277096,-14.961273615808462,-26.367029905273093,-16.46928066729404,-14.9333862072414,-24.163820774914512,-8.989465707689899,-9.296455200674734,-16.92240762910682,-13.560116414514804,-10.444552091791078,-32.45430729668205,-6.250133624809694,-7.864917923022209,-34.26884196762671,-16.957219549839717,-16.834791361330435,-8.16121262483512,-12.406621492059703,-19.74950609572932,-16.621675487935633,-18.285294114052746,-9.727499342136538,-14.297965106446552,-15.937229000023574,-33.19493886520861,-7.746990022444638,-17.424898322174244,-12.774796996441856,-20.772052789150475,-37.78158325954301,-6.84198839320496,-5.5291122391824725,-27.66863078852708,-15.083353078615657,-17.447840582722694,-17.662781203247476,-23.164080503807618,-7.309215087228911,-19.157920222718985,-14.400645505205336,-13.510696789539566,-44.25465586539974,-13.147963756298592,-5.002235043611525,-8.132257458633728,-14.661106881203485,-4.7666955191618445,-21.371476213382348,-13.88530737189749,-13.014824882643625,-40.7610779213784,-36.91469513939312,-10.494374828341051,-18.638711216337978,-8.9822901895915,-30.606206338162306,-24.917069506946117,-20.059446223572436,-30.299636212249776,-33.7762223516815,-16.279096928094937,-26.004324730070135,-4.984104770175245,-18.98039803705168,-47.709953042074275,-29.905319080092827,-13.559942438649077,-27.53316288143978,-5.059378606535928,-20.780396415588687,-3.0975472594511793,-9.836647789901475,-11.16824278726109,-5.146623692963059,-23.06186734479146,-8.752728180027033,-15.427466558474539,-7.370369385320793,-14.792505600919306
7.0,-56.389789406287505,-28.386722300912517,-25.096241155923153,-19.289441622137332,-14.158458981576636,-26.035517779255414,-8.624358996918453,-22.612845458856327,-38.30353743501491,-39.393980567685176,-31.358868942048304,-21.3900365782762,-21.238648807265086,-33.682590669952,-10.909906624805247,-28.561358299479117,-19.049997678743345,-22.771502150652083,-12.772699939182482,-9.343880036672905,-2.080859036717603,-39.34304691760092,-15.462252139306452,-9.110116604137428,-32.133189478551266,-4.239229902595259,-28.805857633750044,-38.456392297133085,-19.553604117205012,-29.54915090285633,-14.281992939356005,-15.067959148695735,-6.97703926461116,-2.578129335713098,-9.227118155823316,-17.223397588537484,-12.932856328986245,-39.754039967098144,-11.373513047857601,-30.88252172800279,-43.81947025708899,-16.109791436373968,-36.98598086967413,-15.977067784331437,-23.483641788983718,-37.95670934928784,-30.855143089539496,-46.66234304635503,-18.77834419160131,-13.112310665935768,-13.57616688040096,-29.023424610452395,-32.946241847262044,-19.830961588658255,-19.313127048552584,-16.700644208740705,-32.05687398246808,-13.560612317872456,-33.33087816125668,-36.336640205118435,-24.46508209960215,-34.55161029706469,-15.300171642545827,-5.161898344199754,-12.687221999838757,-24.94626386272277,-42.71971036828111,-7.447959953530527,-15.21150852692328,-8.45769120224124,-4.396840380622005,-14.046784718100934,-19.270630661782448,-5.187200675266312,-18.75165602891972,-19.5700907896612,-29.15180853446487,-14.962027590331216,-6.8758817062998965,-6.703179430959908,-17.3371905124359,-7.136438850540006,-13.016830251049035,-13.798215340849696,-43.822330695112136,-24.699790584744008,-26.37103504976605,-16.031399839787593,-35.07346759829896,-11.551008868807413,-31.862132281481813,-23.637977256868645,-20.557701283588603,-13.165594956676303,-14.908181165626377,-9.009779642148091,-22.271493661251945,-22.512913611060153,-36.21419952087347,-25.613213520978224
8.0,-13.353150441539515,-24.19375711619727,-8.431587369968026,-23.213613437446607,-18.187789579663516,-30.73227040662342,-24.8697031346518,-23.71937189060148,-16.333693723982517,-38.88401262609896,-7.7765632344401014,-14.486734780680589,-15.557007118455678,-6.31080928278278,-11.730395516532212,-17.20848253363708,-15.357494099700899,-13.213479979883253,-3.4188300911107037,-17.585411995277763,-23.691616319715482,-11.721424157348393,-48.89070139975315,-2.281261971916453,-8.881381167866206,-12.970447184193903,-23.547350864790573,-15.403285906530927,-9.018428211611917,-10.515567570806079,-13.704005001887994,-12.657486084303743,-10.988802629132179,-38.625429417340754,-21.084976090286712,-39.90531665578549,-6.376505902024117,-20.14195599281186,-19.739764476468988,-32.801385318410475,-21.687799278095184,-37.59216956386724,-11.926504634318794,-2.434987764461198,-11.908073008656514,-32.232200081473,-13.18380950866657,-22.428720316049716,-4.807884385626844,-34.495213430439414,-24.76867152999553,-13.644075138909269,-15.316537132139752,-30.123254955659107,-7.181512197882418,-35.333427172969934,-22.679931032228584,-10.515847110552365,-45.897672264188046,-20.079994645815272,-8.224269791697427,-17.238817378449674,-32.515895489218906,-46.43577093742524,-15.958713792701904,-18.22955319209692,-15.91073787149712,-12.62070308206014,-14.244186962421095,-20.923565046779544,-21.15231689213114,-7.921692461433305,-26.91358073604279,-13.31251698682878,-7.994406295055149,-11.467667494180464,-22.843816199054544,-17.707749039039367,-15.996150324733366,-16.328154489283516,-8.026276405431396,-14.880930129115843,-27.153281935166117,-10.347967235312748,-8.130194064233482,-6.832583702011783,-13.553660204547572,-10.392510500110388,-15.255790561098147,-26.694325978922766,-34.73180345356035,-11.953027332003119,-5.532339918264053,-18.4469124277681,-10.451920817866966,-3.957117832891468,-12.824269667541573,-18.009089249949792,-12.8990817766293,-5.7282095824895585
9.0,-17.17891965854056,-22.42224803411446,-19.415500488751977,-43.32749652236231,-7.368085542578545,-13.654378636164761,-15.790274784216779,-12.729858619780696,-7.7071866991146925,-16.9643681256449,-10.383675854034163,-26.4877506331905,-47.48537464989339,-54.268062616622565,-15.858007437402568,-41.74782097564984,-11.374067577845722,-36.58265504957284,-21.477701331044507,-32.29430480794271,-64.52521929149418,-34.60935868293767,-10.279544974579899,-30.721899800032244,-29.342555723730616,-24.056729655256078,-24.8194066755203,-10.685011259494697,-37.62198853647011,-25.043370305748283,-36.035016929193134,-42.30181303503922,-33.09241514343702,-5.7500229013437085,-26.502117164346174,-7.6535682566434655,-7.278862720317224,-12.629536294129386,-29.597134897614144,-23.559545931308346,-12.303466106548745,-10.208093681382161,-33.39727878646903,-14.700309461041913,-22.358631726034893,-7.790411347530789,-24.72269618351915,-16.07942486048575,-34.451498388061836,-7.698154554648657,-7.777456385738317,-24.426879494238303,-29.049319579293595,-20.186874647552354,-9.754058182535532,-10.642758251084928,-9.08155697671977,-36.981634583143716,-6.08200246566692,-21.440352513062322,-8.493772538004453,-20.01193154461152,-19.89143940698117,-10.567101564728034,-27.844802647716882,-8.667764024645944,-30.176916746012985,-15.541220674358666,-11.01462513435198,-57.817060636660194,-55.41641759985588,-33.222237034954915,-36.421648595352586,-30.159051346716293,-33.544562196015136,-25.93515338652481,-30.730507090522476,-17.34788935043893,-36.317288389650074,-22.68128581508964,-9.803325040280786,-11.261220143499036,-36.078470738951225,-17.79294776481449,-18.491362792043244,-41.08931799188693,-26.916615387340144,-44.52476943205101,-34.54452443214636,-17.23917583748776,-37.37527430570778,-18.3414139795428,-30.677899263430515,-11.583184915273257,-36.61088779104169,-14.583965660707575,-17.57101651590566,-47.0537854701003,-11.98784747127285,-6.40981018349043
10.0,-24.33706612676348,-25.01449167178941,-22.507827391274198,-14.718464594606246,-34.55138541018536,-16.024906785305593,-33.44783424488557,-15.253483470319665,-16.471538079284187,-30.245230165428215,-16.23343538458802,-12.348753665781073,-12.960902717317028,-10.651228170390606,-24.693229128705273,-10.022946770258875,-36.75510019792426,-19.496738656514538,-16.83929862446825,-12.958158280710883,-32.19694096534553,-11.49131002779231,-31.131814408672504,-16.74203200011593,-16.88336239335001,-12.925087201053847,-33.093558584600906,-12.5085608323698,-16.669807029930624,-19.791549340944066,-23.516069074590117,-28.635861064302503,-13.330156138124895,-12.115337018347171,-55.91110702774852,-18.609847397756333,-40.295573685382664,-53.82828220876897,-24.843209187124465,-11.623279371866444,-28.8568550911601,-23.161538338297042,-7.63583386746941,-14.703210137931343,-16.31592889576867,-14.779376992339975,-30.795168156911746,-30.171392061408646,-12.651591758217027,-30.732005631130125,-22.749405889661013,-16.877810075912635,-22.106068570942174,-17.87942859394367,-11.652200629789748,-9.354247739418621,-12.337465101441245,-11.76345777790448,-50.85974617702999,-19.833420889496615,-16.391488768957696,-12.101777012861694,-23.62652404937891,-22.874972251228588,-41.92955448511635,-20.2359869184883,-12.568875525087016,-20.950369488179362,-30.783933009919725,-22.14752534059182,-13.944545963993875,-26.04224531287684,-27.588915307581875,-34.12847117801576,-18.30745357760122,-12.288016035461064,-29.540294411048343,-20.823862253800232,-16.598152768180345,-10.96239355493268,-12.874814191164342,-32.67853640628508,-21.46944676132847,-24.935499613878804,-18.374267305010928,-11.400978042987077,-28.326458043105458,-20.063692247490295,-20.317422631265682,-18.918340004592146,-11.619603824261782,-14.37160511780979,-35.38634764095804,-18.28224047360811,-24.136835773982472,-15.797850488708743,-12.07491248456777,-28.725299269307886,-33.422672253916346,-12.479333148545635
