Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimMin
Crying Baby,baby,Standard,Standard,NA,0,Nominal,1,-10.72768822,-15.42397518,8.686812757,-28.33738147
Crying Baby,baby,Standard,Standard,NA,0.025,Ambiguous,2,-10.72768822,-16.34878997,17.98672574,-47.12896941
Crying Baby,baby,Standard,Standard,NA,0.1,Ambiguous,3,-10.72768822,-22.58328311,9.538935134,-32.67453433
Crying Baby,baby,Standard,Standard,NA,0.3,Ambiguous,4,-10.72768822,-30.75886151,14.97004759,-54.61048325
Crying Baby,baby,Standard,Information,Simple,0,Nominal,5,3.196601942,3.145588585,0.104828426,3.012896324
Crying Baby,baby,Standard,Information,Simple,0.025,Ambiguous,6,3.196601942,3.147175746,0.201720561,2.78771405
Crying Baby,baby,Standard,Information,Simple,0.1,Ambiguous,7,3.196601942,3.121788634,0.111576914,3.01532441
Crying Baby,baby,Standard,Information,Simple,0.3,Ambiguous,8,3.196601942,2.944240986,0.209713438,2.66151774
Crying Baby,baby,Standard,Information,Approximate Entropy,0,Nominal,9,3.534882989,3.433974804,0.134629524,3.201638089
Crying Baby,baby,Standard,Information,Approximate Entropy,0.025,Ambiguous,10,3.534882989,3.471405689,0.080399559,3.329439739
Crying Baby,baby,Standard,Information,Approximate Entropy,0.1,Ambiguous,11,3.534882989,3.445161331,0.087381102,3.315364772
Crying Baby,baby,Standard,Information,Approximate Entropy,0.3,Ambiguous,12,3.534882989,3.440189753,0.07589304,3.314073469
Crying Baby,baby,Robust,Standard,NA,0.025,Nominal,13,-14.12492357,-37.44542372,19.74369707,-54.756
Crying Baby,baby,Robust,Standard,NA,0.025,Ambiguous,14,-14.12492357,-41.0227663,12.16679898,-55.1375205
Crying Baby,baby,Robust,Standard,NA,0.1,Nominal,15,-24.07033058,-12.44579524,8.71474002,-26.19788577
Crying Baby,baby,Robust,Standard,NA,0.1,Ambiguous,16,-24.07033058,-31.12401877,14.37680007,-48.69906928
Crying Baby,baby,Robust,Standard,NA,0.3,Nominal,17,-51.04813959,-21.49173413,13.02526957,-36.24371405
Crying Baby,baby,Robust,Standard,NA,0.3,Ambiguous,18,-51.04813959,-27.08870751,7.091897154,-36.54236773
Crying Baby,baby,Robust,Information,Simple,0.025,Nominal,19,2.968152948,1.868862426,0.041693398,1.82336088
Crying Baby,baby,Robust,Information,Simple,0.025,Ambiguous,20,2.968152948,1.900125004,0.069648224,1.829829207
Crying Baby,baby,Robust,Information,Simple,0.1,Nominal,21,2.467749423,2.192676486,0.015344434,2.179502376
Crying Baby,baby,Robust,Information,Simple,0.1,Ambiguous,22,2.467749423,2.101609239,0.149228963,1.969409166
Crying Baby,baby,Robust,Information,Simple,0.3,Nominal,23,1.33096457,1.37474565,0.331728008,0.907931161
Crying Baby,baby,Robust,Information,Simple,0.3,Ambiguous,24,1.33096457,1.19784413,0.265659493,0.906143119
Crying Baby,baby,Robust,Information,Approximate Entropy,0.025,Nominal,25,3.372388242,3.03537504,0.07659469,2.942607763
Crying Baby,baby,Robust,Information,Approximate Entropy,0.025,Ambiguous,26,3.372388242,3.083726385,0.084703315,2.942919143
Crying Baby,baby,Robust,Information,Approximate Entropy,0.1,Nominal,27,3.12862033,3.019108533,0.017658789,2.996070309
Crying Baby,baby,Robust,Information,Approximate Entropy,0.1,Ambiguous,28,3.12862033,2.997958395,0.034803539,2.946942472
Crying Baby,baby,Robust,Information,Approximate Entropy,0.3,Nominal,29,2.679442022,2.460504489,0.13342889,2.314083045
Crying Baby,baby,Robust,Information,Approximate Entropy,0.3,Ambiguous,30,2.679442022,2.483287605,0.157764507,2.311765238
