Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimCI,CorrectMean,CorrectStd,CorrectCI
Crying Baby,baby,Standard,Standard,NA,0.0,Nominal,1,-18.27,-18.357,10.709,"(-19.297, -17.418)",0.874,0.035,"(0.871, 0.877)"
Crying Baby,baby,Standard,Standard,NA,0.001,Ambiguous,2,-18.27,-22.341,12.371,"(-23.427, -21.256)",0.818,0.04,"(0.814, 0.821)"
Crying Baby,baby,Standard,Standard,NA,0.01,Ambiguous,3,-18.27,-25.169,13.028,"(-26.313, -24.026)",0.809,0.041,"(0.805, 0.812)"
Crying Baby,baby,Standard,Standard,NA,0.1,Ambiguous,4,-18.27,-46.541,13.855,"(-47.757, -45.325)",0.648,0.057,"(0.643, 0.653)"
Crying Baby,baby,Standard,Standard,NA,0.2,Ambiguous,5,-18.27,-68.975,13.431,"(-70.153, -67.796)",0.459,0.057,"(0.454, 0.464)"
Crying Baby,baby,Robust,Standard,NA,0.001,Nominal,6,-18.493,-16.76,9.708,"(-17.611, -15.908)",0.876,0.032,"(0.873, 0.879)"
Crying Baby,baby,Robust,Standard,NA,0.001,Ambiguous,7,-18.493,-21.773,11.665,"(-22.796, -20.749)",0.819,0.038,"(0.815, 0.822)"
Crying Baby,baby,Robust,Standard,NA,0.01,Nominal,8,-20.313,-18.849,10.31,"(-19.754, -17.945)",0.875,0.034,"(0.872, 0.878)"
Crying Baby,baby,Robust,Standard,NA,0.01,Ambiguous,9,-20.313,-24.887,12.637,"(-25.996, -23.779)",0.807,0.039,"(0.804, 0.811)"
Crying Baby,baby,Robust,Standard,NA,0.1,Nominal,10,-40.857,-21.232,8.499,"(-21.977, -20.486)",0.878,0.03,"(0.875, 0.881)"
Crying Baby,baby,Robust,Standard,NA,0.1,Ambiguous,11,-40.857,-45.315,12.946,"(-46.451, -44.179)",0.689,0.046,"(0.685, 0.693)"
Crying Baby,baby,Robust,Standard,NA,0.2,Nominal,12,-64.255,-25.152,6.289,"(-25.704, -24.6)",0.633,0.028,"(0.631, 0.636)"
Crying Baby,baby,Robust,Standard,NA,0.2,Ambiguous,13,-64.255,-66.221,12.793,"(-67.343, -65.098)",0.591,0.041,"(0.588, 0.595)"
