Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimCI,CorrectMean,CorrectStd,CorrectCI
SimpleBaby,simplebaby,Standard,Standard,NA,0.0,Nominal,1,-27.299,-26.445,17.65,"(-27.994, -24.896)",0.882,0.031,"(0.879, 0.884)"
SimpleBaby,simplebaby,Standard,Standard,NA,0.001,Ambiguous,2,-27.299,-31.485,18.022,"(-33.067, -29.904)",0.798,0.031,"(0.795, 0.801)"
SimpleBaby,simplebaby,Standard,Standard,NA,0.01,Ambiguous,3,-27.299,-33.176,17.011,"(-34.668, -31.683)",0.795,0.034,"(0.792, 0.798)"
SimpleBaby,simplebaby,Standard,Standard,NA,0.1,Ambiguous,4,-27.299,-37.392,17.899,"(-38.963, -35.822)",0.749,0.036,"(0.746, 0.752)"
SimpleBaby,simplebaby,Standard,Standard,NA,0.2,Ambiguous,5,-27.299,-45.453,17.451,"(-46.984, -43.921)",0.7,0.041,"(0.696, 0.703)"
SimpleBaby,simplebaby,Robust,Standard,NA,0.001,Nominal,6,-27.362,-26.905,17.073,"(-28.403, -25.407)",0.883,0.033,"(0.88, 0.886)"
SimpleBaby,simplebaby,Robust,Standard,NA,0.001,Ambiguous,7,-27.362,-30.884,17.154,"(-32.39, -29.379)",0.801,0.03,"(0.799, 0.804)"
SimpleBaby,simplebaby,Robust,Standard,NA,0.01,Nominal,8,-27.936,-26.92,17.012,"(-28.413, -25.428)",0.885,0.031,"(0.883, 0.888)"
SimpleBaby,simplebaby,Robust,Standard,NA,0.01,Ambiguous,9,-27.936,-31.542,16.817,"(-33.017, -30.066)",0.793,0.032,"(0.791, 0.796)"
SimpleBaby,simplebaby,Robust,Standard,NA,0.1,Nominal,10,-33.834,-25.71,16.963,"(-27.198, -24.222)",0.877,0.038,"(0.874, 0.881)"
SimpleBaby,simplebaby,Robust,Standard,NA,0.1,Ambiguous,11,-33.834,-37.492,18.01,"(-39.072, -35.912)",0.762,0.049,"(0.758, 0.766)"
SimpleBaby,simplebaby,Robust,Standard,NA,0.2,Nominal,12,-40.446,-28.551,17.206,"(-30.06, -27.041)",0.876,0.038,"(0.873, 0.88)"
SimpleBaby,simplebaby,Robust,Standard,NA,0.2,Ambiguous,13,-40.446,-42.491,17.87,"(-44.059, -40.923)",0.715,0.051,"(0.71, 0.719)"
