Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimCI,CorrectMean,CorrectStd,CorrectCI
SimpleTiger,simpletiger,Standard,Standard,NA,0.0,Nominal,1,19.247,22.922,27.16,"(17.593, 28.251)",0.751,0.046,"(0.742, 0.76)"
SimpleTiger,simpletiger,Standard,Standard,NA,0.001,Ambiguous,2,19.247,19.889,29.245,"(14.151, 25.626)",0.744,0.051,"(0.734, 0.754)"
SimpleTiger,simpletiger,Standard,Standard,NA,0.01,Ambiguous,3,19.247,17.274,31.607,"(11.073, 23.475)",0.743,0.049,"(0.734, 0.753)"
SimpleTiger,simpletiger,Standard,Standard,NA,0.1,Ambiguous,4,19.247,-16.806,44.448,"(-25.526, -8.085)",0.684,0.066,"(0.671, 0.697)"
SimpleTiger,simpletiger,Standard,Standard,NA,0.2,Ambiguous,5,19.247,-61.878,64.313,"(-74.496, -49.26)",0.626,0.067,"(0.612, 0.639)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.001,Nominal,6,18.934,21.156,28.043,"(15.654, 26.658)",0.757,0.049,"(0.747, 0.767)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.001,Ambiguous,7,18.934,18.006,31.569,"(11.812, 24.2)",0.744,0.045,"(0.735, 0.753)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.01,Nominal,8,16.049,18.471,29.288,"(12.725, 24.218)",0.744,0.043,"(0.735, 0.752)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.01,Ambiguous,9,16.049,13.352,36.112,"(6.267, 20.437)",0.743,0.055,"(0.732, 0.754)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.1,Nominal,10,-0.519,12.639,13.379,"(10.014, 15.264)",0.813,0.053,"(0.803, 0.824)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.1,Ambiguous,11,-0.519,-3.683,25.145,"(-8.616, 1.25)",0.75,0.069,"(0.736, 0.763)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.2,Nominal,12,-13.683,-0.699,3.474,"(-1.381, -0.017)",0.88,0.042,"(0.872, 0.888)"
SimpleTiger,simpletiger,Robust,Standard,NA,0.2,Ambiguous,13,-13.683,-14.053,11.567,"(-16.322, -11.783)",0.742,0.122,"(0.718, 0.766)"
