Problem,Short_Name,Solution,Reward,Information_Function,Uncertainty_Size,Dynamics,ID,ExpectedValue,SimMean,SimStd,SimMin
Tiger,tiger,Standard,Standard,NA,0,Nominal,1,1.597718285,4.856154407,2.011285982,1.97
Tiger,tiger,Standard,Standard,NA,0.025,Ambiguous,2,1.597718285,-6.747904595,27.3556139,-55.65
Tiger,tiger,Standard,Standard,NA,0.1,Ambiguous,3,1.597718285,5.966302118,0.685021505,5.14
Tiger,tiger,Standard,Standard,NA,0.3,Ambiguous,4,1.597718285,-5.931189379,15.94513053,-33.92
Tiger,tiger,Standard,Information,Simple,0,Nominal,5,2.44986119,2.801802801,0.033683631,2.8
Tiger,tiger,Standard,Information,Simple,0.025,Ambiguous,6,2.44986119,2.737690366,0.198358164,2.4
Tiger,tiger,Standard,Information,Simple,0.1,Ambiguous,7,2.44986119,2.550870415,0.255367887,2.2
Tiger,tiger,Standard,Information,Simple,0.3,Ambiguous,8,2.44986119,2.482624939,0.430663863,2.0
Tiger,tiger,Standard,Information,Approximate Entropy,0,Nominal,9,3.112303565,3.4008077,0.009600582,3.4
Tiger,tiger,Standard,Information,Approximate Entropy,0.025,Ambiguous,10,3.112303565,3.34273046,0.138149242,3.1
Tiger,tiger,Standard,Information,Approximate Entropy,0.1,Ambiguous,11,3.112303565,3.274085878,0.17039552,3.1
Tiger,tiger,Standard,Information,Approximate Entropy,0.3,Ambiguous,12,3.112303565,3.384257949,0.032365827,3.3
Tiger,tiger,Robust,Standard,NA,0.025,Nominal,13,-0.372216521,5.452907288,2.210200654,1.55
Tiger,tiger,Robust,Standard,NA,0.025,Ambiguous,14,-0.372216521,6.38658759,0.244444916,6.04
Tiger,tiger,Robust,Standard,NA,0.1,Nominal,15,-3.774745941,6.947033764,8.823892158,-7.42
Tiger,tiger,Robust,Standard,NA,0.1,Ambiguous,16,-3.774745941,-10.11331953,35.07763681,-72.19
Tiger,tiger,Robust,Standard,NA,0.3,Nominal,17,-2.077579495,-4,0,-4.00
Tiger,tiger,Robust,Standard,NA,0.3,Ambiguous,18,-2.077579495,-4,0,-4.00
Tiger,tiger,Robust,Information,Simple,0.025,Nominal,19,2.244003452,2.57520351,0.272630324,2.1
Tiger,tiger,Robust,Information,Simple,0.025,Ambiguous,20,2.244003452,2.463585838,0.301355043,2.1
Tiger,tiger,Robust,Information,Simple,0.1,Nominal,21,1.633431354,2.395473564,0.090622831,2.2
Tiger,tiger,Robust,Information,Simple,0.1,Ambiguous,22,1.633431354,1.989418565,0.202174189,1.7
Tiger,tiger,Robust,Information,Simple,0.3,Nominal,23,1.105816245,0.553820862,0.300249422,0.2
Tiger,tiger,Robust,Information,Simple,0.3,Ambiguous,24,1.105816245,0.33516831,0.208243323,0.2
Tiger,tiger,Robust,Information,Approximate Entropy,0.025,Nominal,25,3.009374697,3.188175667,0.175868546,3.0
Tiger,tiger,Robust,Information,Approximate Entropy,0.025,Ambiguous,26,3.009374697,3.26476967,0.149825794,3.1
Tiger,tiger,Robust,Information,Approximate Entropy,0.1,Nominal,27,2.700285538,3.082973861,0.201063557,2.7
Tiger,tiger,Robust,Information,Approximate Entropy,0.1,Ambiguous,28,2.700285538,3.076585393,0.110229209,2.9
Tiger,tiger,Robust,Information,Approximate Entropy,0.3,Nominal,29,2.413504703,2.194955979,0.094735596,2.1
Tiger,tiger,Robust,Information,Approximate Entropy,0.3,Ambiguous,30,2.413504703,2.108650294,0.021363622,2.1
